model,threshold,window,contemporaneous,mean_test_recall,std_test_recall,mean_test_precision,std_test_precision,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_test_f1,std_test_f1,mean_test_f1_macro,std_test_f1_macro,mean_test_f1_micro,std_test_f1_micro,mean_test_f1_weighted,std_test_f1_weighted,mean_test_precision_macro,std_test_precision_macro,mean_test_precision_micro,std_test_precision_micro,mean_test_precision_weighted,std_test_precision_weighted,mean_test_recall_macro,std_test_recall_macro,mean_test_recall_micro,std_test_recall_micro,mean_test_recall_weighted,std_test_recall_weighted,sensitivity_0,sensitivity_1,model_name
easyEnsembleClassifier,0.2,14,True,0.6182336182336182,0.086264117915786,0.3553379028379028,0.1089268335990256,0.8930277956197026,0.0254094006849871,0.765505384023339,0.0481356775489668,0.8295621760624803,0.0283073054207924,0.4455216921033889,0.0954462022088495,0.6931257868631905,0.0545606838519895,0.8930277956197026,0.0254094006849871,0.9074584515741864,0.0193954830701324,0.6630551002641869,0.0564891793478937,0.8930277956197026,0.0254094006849871,0.9294015320876684,0.0113958141887062,0.765505384023339,0.0481356775489668,0.8930277956197026,0.0254094006849871,0.8930277956197026,0.0254094006849871,90.99,61.9,EasyEnsembleClassifier_58c4012d-fb85-4337-8e1b-270988e01d8e
easyEnsembleClassifier,0.4,2,False,0.7562872575173731,0.0313030347504654,0.095597988774934,0.0081062470627499,0.774956569506673,0.026174786011702,0.7659110582319149,0.0075344695649495,0.8413362518763469,0.0090346697075088,0.1695039763668979,0.012128661016998,0.5195500588977262,0.014507237859209,0.774956569506673,0.026174786011702,0.8485168555510916,0.0170334270527488,0.5429822717094333,0.0037963664220729,0.774956569506673,0.026174786011702,0.9634253486685364,0.0007970064234506,0.7659110582319149,0.0075344695649495,0.774956569506673,0.026174786011702,0.774956569506673,0.026174786011702,77.85,74.22,EasyEnsembleClassifier_574edbe4-126d-4731-9050-4425fa699d01
easyEnsembleClassifier,0.4,2,True,0.8055676316569509,0.0488388076591776,0.1442573940946933,0.0158793963542233,0.8473295119904047,0.0241252026091239,0.8270956469745643,0.0140668153947183,0.9001333469850449,0.0084783029922085,0.2438054492348964,0.0204384577687478,0.5793579314425261,0.0174693001267873,0.8473295119904047,0.0241252026091239,0.8947036852770112,0.0147766184697162,0.5686197607576817,0.0073341010914542,0.8473295119904047,0.0241252026091239,0.9674270079921484,0.0010914581660844,0.8270956469745643,0.0140668153947183,0.8473295119904047,0.0241252026091239,0.8473295119904047,0.0241252026091239,84.71,80.72,EasyEnsembleClassifier_820a4000-9cfe-4f0d-8c15-444e6821ed82
easyEnsembleClassifier,0.4,4,False,0.7540133519639809,0.0309729804992232,0.0903897394415537,0.0119956502137237,0.794957814914707,0.0255466366790353,0.7750275987529417,0.0201458285659405,0.8518945752309154,0.0231684029382,0.16117950132086,0.0191227574650487,0.5220925389764837,0.0174035527594275,0.794957814914707,0.0255466366790353,0.8644065478260405,0.0161939253713963,0.5411372771837041,0.0062741035694711,0.794957814914707,0.0255466366790353,0.9686563349805132,0.0012653469102142,0.7750275987529417,0.0201458285659405,0.794957814914707,0.0255466366790353,0.794957814914707,0.0255466366790353,79.93,76.03,EasyEnsembleClassifier_44959852-689b-45a7-b2e4-6cbee909331e
easyEnsembleClassifier,0.4,4,True,0.8102313305387362,0.0468043544892357,0.1328641119463738,0.0123960087565938,0.8569504393433801,0.0190093998676945,0.8342091814857149,0.0156004820259337,0.9023462330159294,0.0140510388028121,0.2277154423034359,0.0164932557362194,0.5743889400712592,0.013788450089032,0.8569504393433801,0.0190093998676945,0.9031971962605276,0.0114324756022151,0.5635376875745204,0.0057688336473805,0.8569504393433801,0.0190093998676945,0.9720173391263444,0.0010940395925269,0.8342091814857149,0.0156004820259337,0.8569504393433801,0.0190093998676945,0.8569504393433801,0.0190093998676945,85.8,84.25,EasyEnsembleClassifier_98b650be-7b80-4ea2-94f8-da9b35357793
easyEnsembleClassifier,0.4,8,False,0.732512315270936,0.0796195362187942,0.0654970742953436,0.0152889819090155,0.780948081785553,0.0369997026718988,0.7572155356478825,0.0511047080094398,0.8285489374049352,0.0451879226152763,0.1199579638489406,0.0262663497124551,0.4972310038562007,0.0245361590556444,0.780948081785553,0.0369997026718988,0.8596395101472831,0.0233901870967287,0.5293051459285263,0.0085330200981557,0.780948081785553,0.0369997026718988,0.9748374869008718,0.0024849479801593,0.7572155356478825,0.0511047080094398,0.780948081785553,0.0369997026718988,0.780948081785553,0.0369997026718988,77.63,77.27,EasyEnsembleClassifier_3efe5570-a9ad-4f05-a70b-3a0acb404d6e
easyEnsembleClassifier,0.4,8,True,0.8243842364532019,0.0535089664735911,0.0959416684779504,0.0144042280648672,0.840738776527704,0.0205918544536425,0.8327283392736374,0.0321219367457518,0.8901462597928799,0.0390460062825894,0.1716414533493751,0.023654271616783,0.5417162937607722,0.0177961968803905,0.840738776527704,0.0205918544536425,0.8972079398180212,0.0125780397182117,0.5458696363408638,0.0076722752265682,0.840738776527704,0.0205918544536425,0.9780679236651084,0.0017060604468118,0.8327283392736374,0.0321219367457518,0.840738776527704,0.0205918544536425,0.840738776527704,0.0205918544536425,85.77,86.36,EasyEnsembleClassifier_b5854046-724b-42d1-b737-4b765581faac
easyEnsembleClassifier,0.4,12,False,0.5787878787878789,0.1429069833036557,0.0811337161184656,0.0188653725614702,0.8549999999999999,0.0296536125066386,0.7197603654107183,0.0661108993055832,0.8047642120619865,0.06108234046506,0.1414900740789771,0.0310515095398217,0.5310029900647888,0.0208283515332993,0.8549999999999999,0.0296536125066386,0.90466515391457,0.0177765362173307,0.5355606224955002,0.0104013213121549,0.8549999999999999,0.0296536125066386,0.971490237734708,0.0034826326079185,0.7197603654107183,0.0661108993055832,0.8549999999999999,0.0296536125066386,0.8549999999999999,0.0296536125066386,86.4,40.0,EasyEnsembleClassifier_4aeed152-cc8f-48ac-84e0-df69ff2147ea
easyEnsembleClassifier,0.4,12,True,0.7166666666666667,0.1593144173102414,0.1346065151577816,0.0393451597397973,0.8975000000000002,0.0170009003363027,0.8089379495565925,0.0809784342426763,0.8830394709328537,0.0759113939070569,0.2255701426213984,0.0610510798864488,0.5853149566771034,0.0342631041278099,0.8975000000000002,0.0170009003363027,0.9304431685951648,0.0099813688626284,0.5640909801372157,0.0209680024118433,0.8975000000000002,0.0170009003363027,0.9761107955513474,0.0037276774404358,0.8089379495565925,0.0809784342426763,0.8975000000000002,0.0170009003363027,0.8975000000000002,0.0170009003363027,90.01,60.0,EasyEnsembleClassifier_d459cbc3-3239-4855-9a45-04a26aa075b2
easyEnsembleClassifier,0.4,14,False,0.8083333333333332,0.1274149437908857,0.0641500600991171,0.0118168629939617,0.7418382640017128,0.0524728764112149,0.7743663898226879,0.0482045007914041,0.8274630142303663,0.0544994145008468,0.1185428469883498,0.020681531965777,0.4830799233209902,0.0254168653089424,0.7418382640017128,0.0524728764112149,0.8322427618806619,0.0364097648619905,0.5294151036766269,0.0064133480645491,0.7418382640017128,0.0524728764112149,0.9750619660548616,0.0034271039650493,0.7743663898226879,0.0482045007914041,0.7418382640017128,0.0524728764112149,0.7418382640017128,0.0524728764112149,76.32,75.0,EasyEnsembleClassifier_22df7f1a-a56a-4dcd-8cdd-a36235225937
